Imdb,Title,Year,Rating
TT0365376,The Tale Of Two Sisters,2003,6
TT0432291,The Fog,2005,6
TT0964587,St Trinians,2007,6
TT0098724,Sex Lies And Videotape,1989,6
TT0780536,In Bruges,2008,6
TT0107144,Hoshots! Part Deux,1993,1
TT0109015,3 Ninjas Kick Back,1994,2
TT0068611,Frenzy,1972,6
TT1020530,Eden Lake,2008,6
TT0375679,Crash,2004,6
TT0834001,Underworld Iii The Rise Of The Lycans,2009,5
TT0285823,Once Upon A Time In Mexico,2003,5
TT0364569,Oldboy,2003,5
TT0190590,O Brother Where Art Thou?,2000,9
TT0105046,Of Mice And Men,1992,6
TT0496806,Oceans 13,2007,6
TT0349903,Oceans 12,2004,6
TT0240772,Oceans 11,2001,6
TT0125439,Notting Hill,1999,3
TT0013442,Nosferatu,1922,2
TT0435705,Next,2007,5
TT0374900,Napoleon Dynamite,2004,5
TT0280969,My Little Eye,2002,4
TT0264935,Murder By Numbers,2002,3
TT0107614,Mrs Doubtfire,1993,2
TT0280590,Mr Deeds,2002,3
TT0203009,Moulin Rouge,2001,4
TT0304415,Mona Lisas Smile,2003,6
